review_id,helpful_votes,rank,dataset_mean,dataset_median,dataset_mode,dataset_min,dataset_max
31,47,1,23.464000,23.5,15,0,47
70,47,1,23.464000,23.5,15,0,47
97,47,1,23.464000,23.5,15,0,47
101,47,1,23.464000,23.5,15,0,47
134,47,1,23.464000,23.5,15,0,47
140,47,1,23.464000,23.5,15,0,47
168,47,1,23.464000,23.5,15,0,47
209,47,1,23.464000,23.5,15,0,47
262,47,1,23.464000,23.5,15,0,47
296,47,1,23.464000,23.5,15,0,47
329,47,1,23.464000,23.5,15,0,47
14,46,12,23.464000,23.5,15,0,47
86,46,12,23.464000,23.5,15,0,47
155,46,12,23.464000,23.5,15,0,47
279,46,12,23.464000,23.5,15,0,47
281,46,12,23.464000,23.5,15,0,47
300,46,12,23.464000,23.5,15,0,47
364,46,12,23.464000,23.5,15,0,47
392,46,12,23.464000,23.5,15,0,47
493,46,12,23.464000,23.5,15,0,47
496,46,12,23.464000,23.5,15,0,47
10,45,22,23.464000,23.5,15,0,47
42,45,22,23.464000,23.5,15,0,47
181,45,22,23.464000,23.5,15,0,47
206,45,22,23.464000,23.5,15,0,47
250,45,22,23.464000,23.5,15,0,47
253,45,22,23.464000,23.5,15,0,47
270,45,22,23.464000,23.5,15,0,47
405,45,22,23.464000,23.5,15,0,47
421,45,22,23.464000,23.5,15,0,47
424,45,22,23.464000,23.5,15,0,47
469,45,22,23.464000,23.5,15,0,47
55,44,33,23.464000,23.5,15,0,47
69,44,33,23.464000,23.5,15,0,47
129,44,33,23.464000,23.5,15,0,47
290,44,33,23.464000,23.5,15,0,47
350,44,33,23.464000,23.5,15,0,47
363,44,33,23.464000,23.5,15,0,47
371,44,33,23.464000,23.5,15,0,47
26,43,40,23.464000,23.5,15,0,47
40,43,40,23.464000,23.5,15,0,47
44,43,40,23.464000,23.5,15,0,47
50,43,40,23.464000,23.5,15,0,47
56,43,40,23.464000,23.5,15,0,47
58,43,40,23.464000,23.5,15,0,47
104,43,40,23.464000,23.5,15,0,47
135,43,40,23.464000,23.5,15,0,47
166,43,40,23.464000,23.5,15,0,47
231,43,40,23.464000,23.5,15,0,47
238,43,40,23.464000,23.5,15,0,47
245,43,40,23.464000,23.5,15,0,47
265,43,40,23.464000,23.5,15,0,47
324,43,40,23.464000,23.5,15,0,47
380,43,40,23.464000,23.5,15,0,47
384,43,40,23.464000,23.5,15,0,47
472,43,40,23.464000,23.5,15,0,47
499,43,40,23.464000,23.5,15,0,47
21,42,58,23.464000,23.5,15,0,47
107,42,58,23.464000,23.5,15,0,47
202,42,58,23.464000,23.5,15,0,47
269,42,58,23.464000,23.5,15,0,47
118,41,62,23.464000,23.5,15,0,47
120,41,62,23.464000,23.5,15,0,47
121,41,62,23.464000,23.5,15,0,47
176,41,62,23.464000,23.5,15,0,47
205,41,62,23.464000,23.5,15,0,47
208,41,62,23.464000,23.5,15,0,47
246,41,62,23.464000,23.5,15,0,47
260,41,62,23.464000,23.5,15,0,47
293,41,62,23.464000,23.5,15,0,47
352,41,62,23.464000,23.5,15,0,47
368,41,62,23.464000,23.5,15,0,47
408,41,62,23.464000,23.5,15,0,47
454,41,62,23.464000,23.5,15,0,47
16,40,75,23.464000,23.5,15,0,47
66,40,75,23.464000,23.5,15,0,47
177,40,75,23.464000,23.5,15,0,47
183,40,75,23.464000,23.5,15,0,47
289,40,75,23.464000,23.5,15,0,47
343,40,75,23.464000,23.5,15,0,47
362,40,75,23.464000,23.5,15,0,47
369,40,75,23.464000,23.5,15,0,47
388,40,75,23.464000,23.5,15,0,47
428,40,75,23.464000,23.5,15,0,47
458,40,75,23.464000,23.5,15,0,47
481,40,75,23.464000,23.5,15,0,47
34,39,87,23.464000,23.5,15,0,47
171,39,87,23.464000,23.5,15,0,47
190,39,87,23.464000,23.5,15,0,47
218,39,87,23.464000,23.5,15,0,47
305,39,87,23.464000,23.5,15,0,47
319,39,87,23.464000,23.5,15,0,47
358,39,87,23.464000,23.5,15,0,47
486,39,87,23.464000,23.5,15,0,47
4,38,95,23.464000,23.5,15,0,47
180,38,95,23.464000,23.5,15,0,47
243,38,95,23.464000,23.5,15,0,47
317,38,95,23.464000,23.5,15,0,47
465,38,95,23.464000,23.5,15,0,47
490,38,95,23.464000,23.5,15,0,47
1,37,101,23.464000,23.5,15,0,47
22,37,101,23.464000,23.5,15,0,47
79,37,101,23.464000,23.5,15,0,47
115,37,101,23.464000,23.5,15,0,47
126,37,101,23.464000,23.5,15,0,47
348,37,101,23.464000,23.5,15,0,47
370,37,101,23.464000,23.5,15,0,47
418,37,101,23.464000,23.5,15,0,47
117,36,109,23.464000,23.5,15,0,47
276,36,109,23.464000,23.5,15,0,47
301,36,109,23.464000,23.5,15,0,47
309,36,109,23.464000,23.5,15,0,47
336,36,109,23.464000,23.5,15,0,47
345,36,109,23.464000,23.5,15,0,47
353,36,109,23.464000,23.5,15,0,47
410,36,109,23.464000,23.5,15,0,47
443,36,109,23.464000,23.5,15,0,47
444,36,109,23.464000,23.5,15,0,47
88,35,119,23.464000,23.5,15,0,47
111,35,119,23.464000,23.5,15,0,47
116,35,119,23.464000,23.5,15,0,47
154,35,119,23.464000,23.5,15,0,47
185,35,119,23.464000,23.5,15,0,47
203,35,119,23.464000,23.5,15,0,47
220,35,119,23.464000,23.5,15,0,47
292,35,119,23.464000,23.5,15,0,47
391,35,119,23.464000,23.5,15,0,47
412,35,119,23.464000,23.5,15,0,47
8,34,129,23.464000,23.5,15,0,47
11,34,129,23.464000,23.5,15,0,47
24,34,129,23.464000,23.5,15,0,47
72,34,129,23.464000,23.5,15,0,47
136,34,129,23.464000,23.5,15,0,47
211,34,129,23.464000,23.5,15,0,47
334,34,129,23.464000,23.5,15,0,47
413,34,129,23.464000,23.5,15,0,47
431,34,129,23.464000,23.5,15,0,47
17,33,138,23.464000,23.5,15,0,47
38,33,138,23.464000,23.5,15,0,47
133,33,138,23.464000,23.5,15,0,47
150,33,138,23.464000,23.5,15,0,47
172,33,138,23.464000,23.5,15,0,47
210,33,138,23.464000,23.5,15,0,47
224,33,138,23.464000,23.5,15,0,47
247,33,138,23.464000,23.5,15,0,47
273,33,138,23.464000,23.5,15,0,47
288,33,138,23.464000,23.5,15,0,47
312,33,138,23.464000,23.5,15,0,47
447,33,138,23.464000,23.5,15,0,47
455,33,138,23.464000,23.5,15,0,47
456,33,138,23.464000,23.5,15,0,47
483,33,138,23.464000,23.5,15,0,47
52,32,153,23.464000,23.5,15,0,47
59,32,153,23.464000,23.5,15,0,47
102,32,153,23.464000,23.5,15,0,47
173,32,153,23.464000,23.5,15,0,47
188,32,153,23.464000,23.5,15,0,47
236,32,153,23.464000,23.5,15,0,47
316,32,153,23.464000,23.5,15,0,47
337,32,153,23.464000,23.5,15,0,47
383,32,153,23.464000,23.5,15,0,47
475,32,153,23.464000,23.5,15,0,47
485,32,153,23.464000,23.5,15,0,47
62,31,164,23.464000,23.5,15,0,47
109,31,164,23.464000,23.5,15,0,47
139,31,164,23.464000,23.5,15,0,47
151,31,164,23.464000,23.5,15,0,47
165,31,164,23.464000,23.5,15,0,47
187,31,164,23.464000,23.5,15,0,47
200,31,164,23.464000,23.5,15,0,47
303,31,164,23.464000,23.5,15,0,47
398,31,164,23.464000,23.5,15,0,47
419,31,164,23.464000,23.5,15,0,47
427,31,164,23.464000,23.5,15,0,47
468,31,164,23.464000,23.5,15,0,47
477,31,164,23.464000,23.5,15,0,47
500,31,164,23.464000,23.5,15,0,47
191,30,178,23.464000,23.5,15,0,47
272,30,178,23.464000,23.5,15,0,47
278,30,178,23.464000,23.5,15,0,47
295,30,178,23.464000,23.5,15,0,47
313,30,178,23.464000,23.5,15,0,47
340,30,178,23.464000,23.5,15,0,47
420,30,178,23.464000,23.5,15,0,47
438,30,178,23.464000,23.5,15,0,47
450,30,178,23.464000,23.5,15,0,47
470,30,178,23.464000,23.5,15,0,47
474,30,178,23.464000,23.5,15,0,47
64,29,189,23.464000,23.5,15,0,47
84,29,189,23.464000,23.5,15,0,47
179,29,189,23.464000,23.5,15,0,47
222,29,189,23.464000,23.5,15,0,47
232,29,189,23.464000,23.5,15,0,47
298,29,189,23.464000,23.5,15,0,47
338,29,189,23.464000,23.5,15,0,47
346,29,189,23.464000,23.5,15,0,47
354,29,189,23.464000,23.5,15,0,47
385,29,189,23.464000,23.5,15,0,47
395,29,189,23.464000,23.5,15,0,47
497,29,189,23.464000,23.5,15,0,47
87,28,201,23.464000,23.5,15,0,47
96,28,201,23.464000,23.5,15,0,47
142,28,201,23.464000,23.5,15,0,47
149,28,201,23.464000,23.5,15,0,47
216,28,201,23.464000,23.5,15,0,47
219,28,201,23.464000,23.5,15,0,47
406,28,201,23.464000,23.5,15,0,47
459,28,201,23.464000,23.5,15,0,47
13,27,209,23.464000,23.5,15,0,47
20,27,209,23.464000,23.5,15,0,47
65,27,209,23.464000,23.5,15,0,47
100,27,209,23.464000,23.5,15,0,47
158,27,209,23.464000,23.5,15,0,47
160,27,209,23.464000,23.5,15,0,47
170,27,209,23.464000,23.5,15,0,47
201,27,209,23.464000,23.5,15,0,47
282,27,209,23.464000,23.5,15,0,47
307,27,209,23.464000,23.5,15,0,47
375,27,209,23.464000,23.5,15,0,47
382,27,209,23.464000,23.5,15,0,47
479,27,209,23.464000,23.5,15,0,47
46,26,222,23.464000,23.5,15,0,47
81,26,222,23.464000,23.5,15,0,47
223,26,222,23.464000,23.5,15,0,47
230,26,222,23.464000,23.5,15,0,47
249,26,222,23.464000,23.5,15,0,47
259,26,222,23.464000,23.5,15,0,47
261,26,222,23.464000,23.5,15,0,47
304,26,222,23.464000,23.5,15,0,47
332,26,222,23.464000,23.5,15,0,47
399,26,222,23.464000,23.5,15,0,47
403,26,222,23.464000,23.5,15,0,47
473,26,222,23.464000,23.5,15,0,47
489,26,222,23.464000,23.5,15,0,47
29,25,235,23.464000,23.5,15,0,47
